Mode,Week Number,Year,Count
TSA Screened Volume,29,2021,"48,700"
TSA Screened Volume,30,2021,"48,200"
TSA Screened Volume,31,2021,"49,600"
TSA Screened Volume,32,2021,"50,600"
TSA Screened Volume,33,2021,"51,300"
TSA Screened Volume,34,2021,"50,800"
TSA Screened Volume,35,2021,"46,000"
TSA Screened Volume,36,2021,"44,500"
TSA Screened Volume,37,2021,"43,600"
TSA Screened Volume,38,2021,"41,200"
TSA Screened Volume,39,2021,"41,700"
TSA Screened Volume,40,2021,"40,400"
TSA Screened Volume,41,2021,"41,200"
TSA Screened Volume,42,2021,"41,700"
TSA Screened Volume,43,2021,"42,200"
TSA Screened Volume,44,2021,"39,300"
TSA Screened Volume,45,2021,"38,100"
TSA Screened Volume,46,2021,"40,700"
TSA Screened Volume,47,2021,"40,400"
TSA Screened Volume,48,2021,"44,000"
TSA Screened Volume,49,2021,"42,300"
TSA Screened Volume,50,2021,"39,500"
TSA Screened Volume,51,2021,"45,000"
TSA Screened Volume,52,2021,"44,900"
TSA Screened Volume,1,2022,"38,800"
TSA Screened Volume,2,2022,"34,100"
TSA Screened Volume,3,2022,"32,800"
TSA Screened Volume,4,2022,"27,600"
TSA Screened Volume,5,2022,"27,700"
TSA Screened Volume,6,2022,"28,700"
TSA Screened Volume,7,2022,"32,500"
TSA Screened Volume,8,2022,"40,000"
TSA Screened Volume,9,2022,"41,700"
TSA Screened Volume,10,2022,"36,900"
TSA Screened Volume,11,2022,"37,500"
TSA Screened Volume,12,2022,"42,900"
TSA Screened Volume,13,2022,"43,700"
TSA Screened Volume,14,2022,"45,300"
TSA Screened Volume,15,2022,"50,500"
TSA Screened Volume,16,2022,"45,300"
TSA Screened Volume,17,2022,"44,800"
TSA Screened Volume,18,2022,"45,200"
TSA Screened Volume,19,2022,"45,000"
TSA Screened Volume,20,2022,"47,100"
TSA Screened Volume,21,2022,"48,300"
Aircraft Operations,1,2019,"1,170"
Aircraft Operations,2,2019,"1,130"
Aircraft Operations,3,2019,"1,110"
Aircraft Operations,4,2019,"1,110"
Aircraft Operations,5,2019,"1,110"
Aircraft Operations,6,2019,"1,010"
Aircraft Operations,7,2019,"1,030"
Aircraft Operations,8,2019,"1,140"
Aircraft Operations,9,2019,"1,130"
Aircraft Operations,10,2019,"1,140"
Aircraft Operations,11,2019,"1,160"
Aircraft Operations,12,2019,"1,160"
Aircraft Operations,13,2019,"1,160"
Aircraft Operations,14,2019,"1,170"
Aircraft Operations,15,2019,"1,170"
Aircraft Operations,16,2019,"1,180"
Aircraft Operations,17,2019,"1,180"
Aircraft Operations,18,2019,"1,210"
Aircraft Operations,19,2019,"1,230"
Aircraft Operations,20,2019,"1,240"
Aircraft Operations,21,2019,"1,250"
Aircraft Operations,22,2019,"1,240"
Aircraft Operations,23,2019,"1,280"
Aircraft Operations,24,2019,"1,360"
Aircraft Operations,25,2019,"1,370"
Aircraft Operations,26,2019,"1,370"
Aircraft Operations,27,2019,"1,330"
Aircraft Operations,28,2019,"1,390"
Aircraft Operations,29,2019,"1,390"
Aircraft Operations,30,2019,"1,400"
Aircraft Operations,31,2019,"1,400"
Aircraft Operations,32,2019,"1,410"
Aircraft Operations,33,2019,"1,410"
Aircraft Operations,34,2019,"1,400"
Aircraft Operations,35,2019,"1,360"
Aircraft Operations,36,2019,"1,270"
Aircraft Operations,37,2019,"1,280"
Aircraft Operations,38,2019,"1,270"
Aircraft Operations,39,2019,"1,260"
Aircraft Operations,40,2019,"1,250"
Aircraft Operations,41,2019,"1,260"
Aircraft Operations,42,2019,"1,250"
Aircraft Operations,43,2019,"1,240"
Aircraft Operations,44,2019,"1,170"
